구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,서초구,처리방법,재활용,346.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.8,58.9,43.6,1.9,44.9,11.4,1.5,0.1,0,0,0,0.2,7.6,0,0,0,0.8,0,9.9,165.4
서울,강남구,발생량,발생량,634.3,215.4,188.6,0,67.9,14.2,7.2,47.1,52.2,23.9,8.4,8.8,0,6.7,2.9,172.6,31.8,28.6,10.2,10.8,23.9,0,0,0.5,0.6,1.5,6.4,1.1,0,4.8,0.9,23.9,0.7,26.9,246.3
서울,강남구,처리방법,매립,25.3,25.3,15.5,0,0,0,0,0,15.5,8.2,3.3,4.9,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강남구,처리방법,소각,190.1,190.1,173.1,0,67.9,14.2,7.2,47.1,36.7,15.7,5.1,3.9,0,6.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강남구,처리방법,재활용,418.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.6,31.8,28.6,10.2,10.8,23.9,0,0,0.5,0.6,1.5,6.4,1.1,0,4.8,0.9,23.9,0.7,26.9,246.3
서울,송파구,발생량,발생량,485.3,154.7,83.1,10.5,20.4,9.4,8.5,18.5,15.8,67.7,13.4,9.5,8.3,36.5,3.9,162.4,34.2,24.2,9.2,15.7,42.4,1.6,0,1.1,0,0,0,1.9,0,0,0,0,0.4,31.7,168.2
서울,송파구,처리방법,매립,71.6,71.6,0,0,0,0,0,0,0,67.7,13.4,9.5,8.3,36.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,송파구,처리방법,소각,83.1,83.1,83.1,10.5,20.4,9.4,8.5,18.5,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,송파구,처리방법,재활용,330.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4,34.2,24.2,9.2,15.7,42.4,1.6,0,1.1,0,0,0,1.9,0,0,0,0,0.4,31.7,168.2
서울,강동구,발생량,발생량,344.2,96.9,61.3,1.6,20.8,0.7,0.6,12.2,25.4,35.6,10.9,5.5,2.1,17.1,0,138.3,55.6,19.6,14.7,17.8,10.8,0.4,0.2,0,0,0,0,5.8,0.7,0,0,0,0,12.7,109
서울,강동구,처리방법,매립,35.6,35.6,0,0,0,0,0,0,0,35.6,10.9,5.5,2.1,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강동구,처리방법,소각,61.3,61.3,61.3,1.6,20.8,0.7,0.6,12.2,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강동구,처리방법,재활용,247.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.3,55.6,19.6,14.7,17.8,10.8,0.4,0.2,0,0,0,0,5.8,0.7,0,0,0,0,12.7,109
부산,중구,발생량,발생량,71.4,45.3,34.1,5.7,12.5,1.8,2.3,6.7,5.1,7.3,1.3,1.2,0.8,4,3.9,12.9,4.1,1,0.4,2,1.9,0.2,0.4,0,0,0,0,0.1,0.2,0,0,0,0,2.6,13.2
