구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,양천구,처리방법,매립,14.9,14.9,14.9,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,양천구,처리방법,소각,93,93,93,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,양천구,처리방법,재활용,202.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.4,84.8,3,1.7,0.6,0.6,0,0.3,0.1,0,0,0.1,0.1,9.9,0,0,0,1.2,99.8
서울,강서구,발생량,발생량,365.9,125,118.2,0,27.1,3.4,8.3,8.1,71.3,6.8,0.6,1.5,0.3,4.4,0,91.1,28.3,14,4.7,3.5,13.9,0,1,0.2,0,0,0.3,0.6,0.3,0,0.2,0,24.1,149.8
서울,강서구,처리방법,매립,25,25,20.7,0,5.5,3.4,2.5,3.2,6.1,4.3,0.1,0.3,0.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,처리방법,소각,100,100,97.5,0,21.6,0,5.8,4.9,65.2,2.5,0.5,1.2,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,처리방법,재활용,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,28.3,14,4.7,3.5,13.9,0,1,0.2,0,0,0.3,0.6,0.3,0,0.2,0,24.1,149.8
서울,구로구,발생량,발생량,300.7,129.1,129.1,0,14.9,9.5,6.3,13.9,84.5,0,0,0,0,0,0,63.6,23.6,10.8,1.6,22.2,2.4,0,1.1,0.2,0,0,0.4,1.3,0,0,0,0,0,108
서울,구로구,처리방법,매립,16.2,16.2,16.2,0,4,2,1,3.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,구로구,처리방법,소각,112.9,112.9,112.9,0,10.9,7.5,5.3,10.8,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,구로구,처리방법,재활용,171.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6,23.6,10.8,1.6,22.2,2.4,0,1.1,0.2,0,0,0.4,1.3,0,0,0,0,0,108
서울,금천구,발생량,발생량,242.9,86.3,83.9,0.2,4.8,1.1,0.5,4.5,72.8,2.4,0,0,0.8,1.6,0,94.2,31.9,16,7.2,8.6,11.6,0,1.1,0.1,0,0,0.7,7.2,1.6,0,5.5,0,2.7,62.4
서울,금천구,처리방법,매립,75.7,75.7,73.3,0.1,2.3,0,0.2,1.1,69.6,2.4,0,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
